word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
accessory,әk'sesәri,"n. clothing that is worn or carried, but not part of your main clothing\nn. a supplementary component that improves capability\nn. someone who helps another person commit a crime\ns. furnishing added support","n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",,2,,cet4 cet6 ky toefl ielts gre,7048,6429,s:accessories,,
accident,'æksidәnt,n. an unfortunate mishap; especially one causing damage or injury\nn. anything that happens suddenly or by chance without an apparent cause,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",,3,1,zk gk cet4 ky toefl,1187,1707,s:accidents,,
accommodate,ә'kɒmәdeit,v. provide with something desired or needed\nv. have room for; hold without crowding\nv. make (one thing) compatible with (another),"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",,2,,cet4 cet6 ky toefl ielts gre,3404,3717,d:accommodated/i:accommodating/3:accommodates/p:accommodated,,
accommodation,ә.kɒmә'deiʃәn,n. a settlement of differences\nn. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality\nn. living quarters provided for public convenience\nn. the act of providing something (lodging or seat or food) to meet a need,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款\n[医] 调节(眼); 适应",,2,1,gk cet4 cet6 ky ielts,2048,5369,s:accommodations,,
accomplish,ә'kʌmpliʃ,v put in effect\nv to gain with effort,"vt. 完成, 达到, 实现, 使完美",,2,,gk cet4 ky toefl ielts gre,5546,2345,d:accomplished/p:accomplished/i:accomplishing/3:accomplishes,,
accord,ә'kɒ:d,n. concurrence of opinion\nn. sympathetic compatibility\nv. allow to have,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",,5,,cet4 cet6 ky toefl ielts gre,5594,6075,i:according/d:accorded/3:accords/s:accords/p:accorded,,
accordance,ә'kɒ:dәns,n. the act of granting rights,"n. 一致, 和谐",,1,,cet4 cet6 ky,32964,8086,,,
account,ә'kaunt,n. a formal contractual relationship established to provide for regular banking or brokerage or business services\nn. importance or value\nn. a statement of recent transactions and the resulting balance\nn. the quality of taking advantage,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",,5,1,gk cet4 ky toefl ielts,498,1071,s:accounts/d:accounted/i:accounting/3:accounts/p:accounted,,
accumulate,ә'kju:mjuleit,v. collect or gather,"v. 积聚, 堆积",,2,,gk cet4 cet6 ky toefl ielts gre,4997,5083,d:accumulated/i:accumulating/3:accumulates/p:accumulated,,
accurate,'ækjurәt,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy\ns. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct","a. 正确的, 精确的\n[经] 准确的, 精确的",,3,1,cet4 cet6 ky toefl ielts gre,2738,2728,,,
accuse,ә'kju:z,v. bring an accusation against; level a charge against,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",,4,1,gk cet4 cet6 ky toefl ielts gre,1893,2024,d:accused/p:accused/i:accusing/3:accuses,,
accustomed,ә'kʌstәmd,a. (often followed by `to') in the habit of or adapted to\ns. commonly used or practiced; usual,"a. 惯常的, 习惯了的",,1,,gk cet4 cet6 ky toefl,6431,8524,d:accustomed/0:accustomed/1:dp/p:accustomed,,
achievement,ә'tʃi:vmәnt,n the action of accomplishing something,"n. 完成, 成就, 功业",,2,1,gk cet4 cet6 toefl ielts,1978,2021,s:achievements,,
acid,'æsid,n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt\nn. street name for lysergic acid diethylamide\ns. having the characteristics of an acid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",,3,1,gk cet4 cet6 ky toefl ielts,1597,3238,s:acids,,
acknowledge,әk'nɒlidʒ,"v. report the receipt of\nv. express obligation, thanks, or gratitude for\nv. accept as legally binding and valid\nv. accept (someone) to be what is claimed or accept his power and authority","vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",,3,1,gk cet4 cet6 ky toefl ielts gre,2105,1654,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging,,
acquaint,ә'kweint,v. inform,"vt. 使认识, 介绍",,1,,cet6 ky toefl ielts gre,9574,9630,d:acquainted/i:acquainting/p:acquainted/3:acquaints,,
acquaintance,ә'kweintәns,n. personal knowledge or information about someone or something\nn. a relationship less intimate than friendship\nn. a person with whom you are acquainted,"n. 认识, 相识者",,2,,gk cet4 cet6 ky toefl gre,5967,6274,s:acquaintances,,
acquire,ә'kwaiә,v. locate (a moving entity) by means of a tracking system such as radar\nv. win something through one's efforts,"vt. 获得, 学到\n[电] 目标锁定",,3,1,gk cet4 cet6 ky toefl ielts,1407,2063,d:acquired/p:acquired/i:acquiring/3:acquires,,
activate,'æktiveit,v. make active or more active\nv. make more adsorptive\nv. aerate (sewage) so as to favor the growth of organisms that decompose organic matter\nv. make (substances) radioactive,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",,1,,ky toefl ielts,4543,6113,d:activated/i:activating/3:activates/p:activated,,
acute,ә'kju:t,a. having or experiencing a rapid onset and short but severe course\ns. extremely sharp or intense\ns. having or demonstrating ability to recognize or draw fine distinctions\na. of an angle; less than 90 degrees,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",,2,,gk cet4 cet6 ky toefl ielts gre,3249,5255,s:acutes/t:acutest,,
adapt,ә'dæpt,"v. make fit for, or change to suit a new purpose","vt. 使适应, 改编\nvi. 适应",,2,1,gk cet4 cet6 ky toefl ielts gre,2816,2933,d:adapted/i:adapting/p:adapted/3:adapts,,
addict,ә'dikt,"n. someone who is so ardently devoted to something that it resembles an addiction\nn. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms\nv. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)","vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",,2,,cet6 ky toefl ielts gre,10019,6091,d:addicted/s:addicts/i:addicting/p:addicted/3:addicts,,
addition,ә'diʃәn,n. a component that is added to something to improve it\nn. the act of adding one thing to another\nn. a quantity that is added\nn. a suburban area laid out in streets and lots for a future residential area,"n. 加法, 增加的人(或物)\n[计] 加法",,4,1,gk cet4 cet6 ky ielts gre,2841,2048,s:additions,,
additional,ә'diʃәnәl,s further or added,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",,,1,cet4 cet6 ky toefl ielts,1310,1319,,,
adequate,'ædikwәt,a. having the requisite qualities or resources to meet a task\ns. sufficient for the purpose\ns. about average; acceptable,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",,3,1,gk cet4 cet6 ky toefl ielts gre,2398,3297,,,
adhere,әd'hiә,v. be compatible or in accordance with\nv. follow through or carry out a plan without deviation\nv. be a devoted follower or supporter\nv. stick to firmly,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",,2,,cet4 cet6 ky toefl ielts gre,6380,6516,d:adhered/i:adhering/p:adhered/3:adheres,,
adjacent,ә'dʒeisәnt,"s. nearest in space or position; immediately adjoining without intervening space\ns. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""\ns. near or close to but not necessarily touching","a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的",,1,,cet6 ky toefl ielts gre,5391,6649,,,
adjoin,ә'dʒɒin,v. attach or add,"v. 邻接, 毗连",,1,,cet6 ky toefl ielts,11337,17562,i:adjoining/3:adjoins/p:adjoined/d:adjoined,,
adjust,ә'dʒʌst,v. alter or regulate so as to achieve accuracy or conform to a standard\nv. adapt or conform oneself to new or different conditions\nv. make correspondent or conformable\nv. decide how much is to be paid on an insurance claim,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",,3,1,gk cet4 cet6 ky toefl ielts gre,2811,2300,d:adjusted/i:adjusting/p:adjusted/3:adjusts,,
administration,әd.mini'streiʃәn,n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)\nn. the persons (or committees or departments etc.) who make up a body for the purpose of administering something\nn. the act of administering medication\nn. the act of meting out justice according to the law,"n. 行政, 管理, 政府机关\n[化] 给药",,4,,gk cet4 cet6 ky toefl ielts,1383,635,s:administrations,,
admit,әd'mit,"v. declare to be true or admit the existence or reality or truth of\nv. allow to enter; grant entry to\nv. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of\nv. afford possibility","vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",,4,1,gk cet4 ky toefl,887,1089,p:admitted/d:admitted/3:admits/i:admitting,,
adolescent,.ædәu'lesәnt,n. a juvenile between the onset of puberty and maturity\na. relating to or peculiar to or suggestive of an adolescent\ns. being of the age 13 through 19\ns. displaying or suggesting a lack of maturity,"a. 青春期的, 青少年的\nn. 青少年",,2,,gk cet6 ky toefl gre,8678,3386,s:adolescents,,
adopt,ә'dɒpt,"v. choose and follow; as of theories, ideas, policies, strategies or plans\nv. take up and practice as one's own\nv. take into one's family","vt. 采用, 正式通过, 收养, 接受\n[医] 采取",,4,1,gk cet4 cet6 ky toefl ielts gre,1157,1632,d:adopted/p:adopted/i:adopting/3:adopts,,
adore,ә'dɒ:,v. love intensely,"vt. 崇拜, 爱慕, 喜爱\nvi. 崇拜, 爱慕",,2,,gk cet6 ky toefl ielts gre,8708,7705,p:adored/3:adores/d:adored/i:adoring,,
advantage,әd'vɑ:ntidʒ,n. the quality of having a superior or more favorable position\nn. (tennis) first point scored after deuce\nn. benefit resulting from some event or action\nv. give an advantage to,"n. 优点, 便利, 好处, 优势\nvt. 有助于",,4,1,zk gk cet4 ky,969,1301,s:advantages/d:advantaged/i:advantaging/p:advantaged/3:advantages,,
adverse,'ædvә:s,s. contrary to your interests or welfare\ns. in an opposing direction,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的",,2,,cet6 ky toefl ielts gre,5120,6307,,,
advocate,'ædvәkeit,n. a person who pleads for a cause or propounds an idea\nn. a lawyer who pleads cases in court,"n. 提倡者, 拥护者\nvt. 主张, 提倡",,3,,gk cet4 cet6 ky toefl ielts gre,4031,2623,d:advocated/s:advocates/i:advocating/p:advocated/3:advocates,,
aerial,'єәriәl,a. existing or living or growing or operating in the air,"a. 空中的, 航空的, 空气的, 空想的\nn. 天线",,1,,cet6 ky ielts gre,7551,7339,s:aerials,,
aesthetic,i:s'θetik,n. (philosophy) a philosophical theory as to what is beautiful\na. relating to or dealing with the subject of aesthetics\na. concerning or characterized by an appreciation of beauty or good taste\ns. aesthetically pleasing,"a. 美学的, 审美的, 有美感的",,2,,cet6 ky toefl ielts gre,5161,4296,,,
affection,ә'fekʃәn,n. a positive feeling of liking,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",,2,1,gk cet4 cet6 ky toefl ielts gre,4103,5137,s:affections,,
affiliate,ә'filieit,n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization\nn. a subsidiary or subordinate organization that is affiliated with another organization\nv. join in an affiliation,"vt. 使紧密联系, 使附属, 接纳, 收养\nvi. 发生联系, 参加",,2,,cet6 ky toefl ielts gre,14490,6929,d:affiliated/s:affiliates/i:affiliating/p:affiliated/3:affiliates,,
affirm,ә'fә:m,v. to declare or affirm solemnly and formally as true\nv. say yes to,"v. 断言, 确认",,2,,cet6 ky toefl ielts gre,7903,5714,p:affirmed/d:affirmed/i:affirming/3:affirms/s:affirms,,
afflict,ә'flikt,v. cause great unhappiness for; distress\nv. cause physical pain or suffering in,"vt. 使苦恼, 折磨",,,,cet6 toefl ielts gre,11138,9633,d:afflicted/3:afflicts/i:afflicting/p:afflicted,,
aggregate,'ægrigәt,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster\nn. a sum total of many heterogenous things taken together\nv. amount in the aggregate to\nv. gather in a mass, sum, or whole","n. 合计, 总计, 聚集体\na. 合计的, 聚集的\nv. 聚集, 集合, 合计达\n[计] 聚合体; 聚集",,2,,toefl ielts gre,5505,12841,s:aggregates/d:aggregated/i:aggregating/3:aggregates/p:aggregated,,
aggressive,ә'gresiv,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""\ns. tending to spread quickly\ns. characteristic of an enemy or one eager to fight","a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",,3,1,gk cet4 cet6 ky toefl ielts gre,3648,2514,,,
agony,'ægәni,n. intense feelings of suffering; acute mental or physical pain\nn. a state of acute pain,"n. 极大的痛苦, 挣扎\n[医] 濒死苦闷; 剧痛",,2,,cet4 cet6 ky ielts gre,5575,7577,s:agonies,,
agreeable,ә'griәbl,a. conforming to your own liking or feelings or nature\ns. prepared to agree or consent,"a. 令人愉快的, 同意的\n[医] 佳适的",,1,,cet6 ky toefl ielts gre,9587,13667,,,
aid,eid,n. a resource\nn. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose\nn. money to support a worthy person or cause,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",,5,1,gk cet4 cet6 ky,1096,1640,s:aids/d:aided/i:aiding/p:aided/3:aids,,
air-condition,"'eәkәn,diʃən",v. control the humidity and temperature of,"vt. 设以空调设备, 用空调调节",,,,,0,0,i:air-conditioning/p:air-conditioned/3:air-conditions/d:air-conditioned,,
aisle,ail,n. a long narrow passage (as in a cave or woods)\nn. passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores\nn. part of a church divided laterally from the nave proper by rows of pillars or columns,"n. 走廊, 侧廊, 过道\n[机] 走道",,1,,ky ielts,7161,4484,s:aisles,,
alarm,ә'lɑ:m,n. fear resulting from the awareness of danger\nn. a device that signals the occurrence of some undesirable event\nn. an automatic signal (usually a sound) warning of danger\nv. warn or arouse to a sense of danger or call to a state of preparedness,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",,3,1,gk cet4 ky toefl ielts,3004,3693,s:alarms/d:alarmed/p:alarmed/i:alarming/3:alarms,,
album,'ælbәm,n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc\nn. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc,"n. 粘贴簿, 唱片套\n[医] 白色物",,4,,gk cet6 ky ielts,2991,2215,s:albums,,
alcohol,'ælkәhɒl,n. a liquor or brew containing alcohol as the active agent\nn. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation,"n. 酒精, 酒\n[化] 醇; 乙醇; 酒精",,3,1,gk cet4 ky,2654,2191,s:alcohols,,
alert,ә'lә:t,n. condition of heightened watchfulness or preparation for action\nn. a warning serves to make you more alert to danger\na. engaged in or accustomed to close observation\ns. quick and energetic,"a. 警觉的, 灵敏的, 留心的\nn. 警报\nvt. 使警觉, 通知, 使意识到",,3,,cet4 cet6 ky toefl gre,4966,5318,d:alerted/p:alerted/i:alerting/3:alerts/s:alerts,,
alien,'eiljәn,v. transfer property or ownership\ns. not contained in or deriving from the essential nature of something\ns. being or from or characteristic of another place or part of the world,"n. 外国人, 外侨\na. 外国的, 相异的",,2,,cet6 ky toefl ielts,5998,3977,s:aliens/i:aliening/p:aliened/3:aliens/d:aliened,,
alienate,'eiljәneit,v. make withdrawn or isolated or emotionally dissociated,"vt. 使疏远, 离间, 转让\n[法] 转让, 让与, 疏远",,2,,toefl ielts gre,8590,8136,d:alienated/p:alienated/i:alienating/3:alienates,,
allege,ә'ledʒ,v. report or maintain,"vt. 宣称, 主张, 提出, 断言\n[法] 断言, 指称, 指证",,4,,cet6 ky toefl ielts gre,3738,5319,d:alleged/p:alleged/i:alleging/3:alleges,,
alleviate,ә'li:vieit,"v provide physical relief, as from pain\nv make easier","vt. 减轻, 使缓和",,1,,cet6 ky toefl ielts gre,7706,7531,d:alleviated/i:alleviating/3:alleviates/p:alleviated,,
alliance,ә'laiәns,n. the state of being allied or confederated\nn. a connection based on kinship or marriage or common interest\nn. an organization of people (or countries) involved in a pact or treaty\nn. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim,"n. 联盟, 联合\n[法] 同盟, 联盟, 联姻",,3,,cet6 ky toefl ielts,2354,3376,s:alliances,,
allocate,'ælәukeit,v. distribute according to a plan or set apart for a special purpose,"vt. 分派, 分配\n[计] 分配",,2,,gk cet6 ky toefl ielts gre,3035,6763,d:allocated/i:allocating/3:allocates/p:allocated,,
alloy,'ælɒi. ә'lɒi,n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten\nv. make an alloy of,"n. 合金\nvt. 将...铸成合金, 减低成色\nvi. 合铸",,1,,cet4 cet6 ky toefl ielts,10493,11808,s:alloys/i:alloying/d:alloyed/p:alloyed/3:alloys,,
alter,'ɒ:ltә,v. make an alteration to\nv. remove the ovaries of,v. 改变,,3,1,cet4 cet6 ky toefl ielts gre,2121,2889,d:altered/i:altering/3:alters/p:altered,,
alternate,'ɒ:ltәnәt,v. go back and forth; swing back and forth between two states or conditions\nv. exchange people temporarily to fulfill certain jobs and functions\nv. do something in turns\ns. every second one of a series,"a. 交替的, 轮流的, 间隔的\nv. 轮流, (使)交替",,2,,cet6 ky toefl ielts gre,9515,7396,i:alternating/p:alternated/3:alternates/d:alternated/s:alternates,,
alternative,ɒ:l'tә:nәtiv,s. necessitating a choice between mutually exclusive possibilities\ns. pertaining to unconventional choices,"n. 两者择一, 供替代的选择\na. 两者择一的, 供选择的\n[计] 选择对象",,4,1,gk cet4 cet6 ky toefl ielts,1752,2073,s:alternatives,,
ambiguous,æm'bigjuәs,a. having more than one possible meaning\ns. having no intrinsic or objective meaning; not organized in conventional patterns,"a. 不明确的, 模棱两可的\n[法] 意思含糊的, 模棱两可的, 暧昧的",,2,,gk cet6 ky toefl ielts gre,6442,7071,,,
ambition,æm'biʃәn,n. a cherished desire\nn. a strong drive for success\nv. have as one's ambition,"n. 野心, 志向",,3,1,gk cet4 cet6 ky toefl ielts,3185,4283,s:ambitions,,
ambitious,æm'biʃәs,a. having a strong desire for success or achievement\ns. requiring full use of your abilities or resources,"a. 有野心的, 抱负不凡的, 雄心勃勃的",,2,,cet6 ky toefl ielts,4298,4287,,,
amend,ә'mend,v. make amendments to,"vt. 修改, 改善, 改良\nvi. 改过自新",,2,,ky toefl ielts gre,4585,7371,d:amended/i:amending/p:amended/3:amends/s:amends,,
ammunition,.æmju'niʃәn,n. projectiles to be fired from a gun\nn. any nuclear or chemical or biological material that can be used as a weapon of mass destruction\nn. information that can be used to attack or defend a claim or argument or viewpoint,"n. 军火, 弹药\n[机] 弹药",,2,,ielts,7653,6837,s:ammunitions,,
amplify,'æmplifai,v. increase the volume of,"vt. 增强, 放大, 扩大, 详述\nvi. 引伸",,1,,cet4 cet6 ky toefl ielts gre,9902,9595,d:amplified/p:amplified/i:amplifying/3:amplifies,,
analogy,ә'nælәdʒi,n. an inference that if things agree in some respects they probably agree in others\nn. drawing a comparison in order to show a similarity in some respect,"n. 相似, 类似\n[计] 模拟",,1,,cet6 ky toefl ielts gre,5394,5913,s:analogies,,
analyse,'ænәlaiz,"v consider in detail and subject to an analysis in order to discover essential features or meaning\nv break down into components or essential features\nv make a mathematical, chemical, or grammatical analysis of; break down into components or essential features\nv subject to psychoanalytic treatment","vt. 分析, 细察, 分解\n[经] 分析",,2,1,cet4 cet6 ky,2142,12788,d:analysed/i:analysing/p:analysed/3:analyses/s:analyses,,
analysis,ә'nælәsis,"n. an investigation of the component parts of a whole and their relations in making up the whole\nn. the abstract separation of a whole into its constituent parts in order to study the parts and their relations\nn. a form of literary criticism in which the structure of a piece of writing is analyzed\nn. the use of closed-class words instead of inflections: e.g., `the father of the bride' instead of `the bride's father'",n. 分析\n[计] 分析机; 分析员; 分析; 分析程序,,3,1,gk cet4 cet6 ky toefl ielts,707,811,s:analyses,,
ancestor,'ænsestә,n. someone from whom you are descended (but usually more remote than a grandparent),"n. 祖先, 祖宗",,2,,gk cet4 cet6 ky toefl ielts gre,4793,4137,s:ancestors,,
ancient,'einʃәnt,n. a very old person\nn. a person who lived in ancient times\ns. belonging to times long past especially of the historical period before the fall of the Western Roman Empire\ns. very old,"a. 古代的, 古老的, 年老的, 旧的",,3,1,zk gk cet4 cet6 ky ielts,1841,1817,s:ancients,,
annoy,ә'nɒi,"v. cause annoyance in; disturb, especially by minor irritations","vt. 使恼怒, 骚扰",,1,1,gk toefl ielts gre,7731,9844,p:annoyed/3:annoys/d:annoyed/i:annoying,,
annual,'ænjuәl,n. (botany) a plant that completes its entire life cycle within the space of a year\nn. a reference book that is published regularly once every year\na. completing its life cycle within a year\ns. occurring or payable every year,"n. 年刊, 年报\na. 每年的, 一年一次的, 全年的, 一年生的",,4,1,gk cet4 ky toefl ielts,1215,1361,s:annuals,,
anonymous,ә'nɒnimәs,a. having no known name or identity or known source\ns. not known or lacking marked individuality,"a. 姓氏不详的, 无名的, 无特色的\n[计] 无记录",,2,,cet6 ky toefl ielts gre,4958,4318,,,
anticipate,æn'tisipeit,v. act in advance of; deal with ahead of time\nv. realize beforehand\nv. be excited or anxious about\nv. be a forerunner of or occur earlier than,"vt. 预期, 占先, 加速, 提前使用\n[医] 提前出现, 先期发生",,2,1,cet4 cet6 ky toefl ielts gre,3106,3187,d:anticipated/i:anticipating/p:anticipated/3:anticipates,,
anxiety,æŋ'zaiәti,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic\nn. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune","n. 焦虑, 忧虑, 令人焦虑的事\n[医] 焦虑",,3,1,gk cet4 cet6 ky toefl ielts,2612,2467,s:anxieties,,
apartment,ә'pɑ:tmәnt,n. a suite of rooms usually on one floor of an apartment house,"n. 房间, 公寓",,3,1,gk cet4 ky ielts,3711,1273,s:apartments,,
apology,ә'pɒlәdʒi,n. an expression of regret at having caused trouble for someone\nn. a formal written defense of something you believe in strongly\nn. a poor example,"n. 道歉, 辩护\n[法] 道歉, 谢罪, 辩解者",,2,,gk cet4 ky toefl,4950,4944,s:apologies,,
apparatus,.æpә'reitәs,n. equipment designed to serve a specific function\nn. (anatomy) a group of body parts that work together to perform a given function,"n. 装置, 器具, 器官\n[化] 仪器; 器械",,1,,cet4 cet6 ky ielts gre,5318,6978,,,
