word,sentenceId,sentence,decision,categories,rationale,reviewType,seed,semanticDecisionSource,defaultLearningAppropriateness,targetTeachingValue,contextVocabularyLoad,syntaxSimplicity,standaloneClarity,topicNeutrality,naturalModernEnglish,finalEditorDecision,severeInappropriate
autonomous,10966305,"Like their counterparts on land, autonomous ships are emerging as a new way to traverse the world's oceans.",pass,,Autonomous ships provide a current but intelligible example of autonomous systems operating independently.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
denote,9951226,One of the functions of the genitive case in Russian is to denote possession.,reject,specialist-background; context-too-hard,Genitive case and Russian grammar are specialist linguistic terms that overwhelm the basic target denote.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
pitch,11237474,The sales pitch didn't go well.,pass,,A sales pitch not going well is a familiar workplace situation that directly illustrates pitch.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
defeat,12764886,The game ended in a devastating defeat.,pass,,"A game ending in defeat is a short, direct result context for defeat.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
factor,11166959,The relevance of sport as a factor for integration of socially disadvantaged groups cannot be underestimated.,pass,,Sport as a factor in social integration gives factor a clear cause or contributing-element meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
mass,12150313,Scientists look to explain the phenomenon of mass beaching by whales and dolphins.,reject,death-heavy; context-too-hard,Mass beaching of whales and dolphins is an unusual animal-death phenomenon that adds distress and specialist context unrelated to mass.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
alter,9940629,"If we alter the construction of such sentences, the missing antecedent is often restored.",reject,specialist-background; context-dependent,"Construction, sentences, and a missing antecedent require grammar analysis that is much harder than alter.",phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,false
enormous,9998017,This enormous longhorn beetle is found around mango and fig trees.,pass,,An enormous beetle among familiar plants gives enormous a concrete size meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
formal,9952838,Affirming the consequent is an example of a formal logical fallacy.,reject,specialist-background; context-too-hard,Affirming the consequent and formal logical fallacy are technical logic terms that make formal inaccessible as a default example.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
ancient,12767953,Mary enjoyed exploring ancient ruins during her travels.,pass,,Exploring ancient ruins is a common travel context that directly demonstrates ancient.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
attitude,11056703,"Unmasked and helpless, she maintained an attitude of challenge and defiance.",pass,,An attitude of challenge and defiance gives attitude a clear way-of-facing-something meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
release,11260218,The prisoner died of natural causes one day before his scheduled release.,reject,death-heavy; context-dependent,A prisoner dying before release adds an unnecessary death narrative and leaves the emotional situation unsuitable for default learning.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,false
process,11102781,The evaporation process creates a drop in temperature of several degrees.,pass,,"Evaporation creating a temperature drop is a clear, readable science process that directly shows process.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
facet,11062533,Lion dances are a facet of traditional Chinese culture.,pass,,Lion dances as one facet of a culture gives facet a clear part-of-a-whole meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
inject,9090610,Maybe you can inject some bleach into your arm.,reject,medical-heavy; self-harm,Injecting bleach into an arm is dangerous self-harm imagery and an unacceptable default medical context for inject.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,true
original,11751685,The band played a mix of covers and original songs.,pass,,A band playing covers and original songs gives original a familiar music contrast.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
acid,10058430,I choked on some stomach acid and woke up.,pass,,"Choking on stomach acid is unpleasant but simple, direct, and clearly demonstrates acid as a substance.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
chase,10171525,My cat likes to chase the mouse cursor.,pass,,"A cat chasing a cursor gives chase a concrete, harmless everyday action.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
disaster,12023081,Bitcoin and its consequences have been a disaster for the human race.,reject,public-controversy; political-heavy,Calling Bitcoin a disaster for humanity makes disaster part of a polarized financial and technological claim rather than a neutral example.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
jog,11653905,Tom accidentally stepped in dog poop on his morning jog.,pass,,"A morning jog interrupted by dog poop is a clear, ordinary activity context for jog.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
approach,12759915,Tom often finds himself inspired by Mary's approach to learning.,pass,,"A person's approach to learning is a natural, relevant use that clearly shows approach as a method.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
fertilizer,11233041,Algal overload is common in waterways worldwide caused by fertilizer runoff and poor sewage management.,pass,,Fertilizer runoff and sewage management provide a coherent environmental context in which fertilizer is central.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
domestic,11309260,The cheetah is very closely related to the domestic cat.,pass,,The cheetah and domestic cat comparison gives domestic a familiar household-animal contrast.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
album,11607513,Their music since their third album has mostly been butt rock.,reject,other; weak-teaching-value,Butt rock is niche slang and the sentence gives album little teaching value beyond a vague music label.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,false
rely,12042018,"People rely on ferries for transportation in Bangladesh, a low-lying nation with hundreds of rivers.",pass,,Relying on ferries in a river-filled country gives rely a clear transportation dependence meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cabinet,10139357,Tom peeked into Mary's medicine cabinet.,pass,,"Peeking into a medicine cabinet is a familiar household action that gives cabinet a clear, concrete storage meaning.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
extensive,10169351,"After an extensive investigation, Tom was cleared of any wrongdoing.",pass,,An extensive investigation clearing someone of wrongdoing is a complete and familiar institutional context.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cycle,12778582,Can we ever break free from the cycle of existence?,pass,,Breaking a cycle of existence gives cycle a clear repeated-pattern meaning in an understandable abstract question.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
management,12767964,Tom is improving his crisis management skills at work.,pass,,"Crisis-management skills at work give management a direct, modern workplace use.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
galaxy,12765133,The space explorers discovered a new planet in the galaxy.,pass,,A new planet in a galaxy is a simple astronomy context that makes galaxy concrete.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
stock,12033012,"When you see the sign for the stock brokerage, take the next right.",reject,context-too-hard; specialist-background,A stock brokerage sign assumes specialized finance vocabulary and gives stock an ambiguous context for a default learner.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
sake,12768629,"We seek knowledge not for its own sake, but for wisdom.",pass,,Knowledge pursued for its own sake is a common phrase that clearly demonstrates sake.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cancer,11860477,Growth for growth's sake is the ideology of the cancer cell.,reject,medical-heavy; public-controversy,The cancer-cell ideology metaphor adds medical and ideological framing that is unnecessary for the target sake.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
extent,11083766,Extend your legs only to the extent of your space.,pass,,Extending legs to a certain extent gives extent a direct measure-of-range meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
elite,9365572,Tom went to an elite preparatory school.,pass,,An elite preparatory school is a straightforward education context that makes elite clear.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
sponge,11032606,Could you pass me that sponge?,pass,,"Passing a sponge is a short, ordinary household request with the target unambiguous.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
radius,12426332,What is the radius of a hydrogen atom?,pass,,The radius of a hydrogen atom gives radius a precise but accessible scientific meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
defiance,11056703,"Unmasked and helpless, she maintained an attitude of challenge and defiance.",pass,,A challenging attitude accompanied by defiance makes defiance clear in a complete narrative description.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
texture,11696287,"The taste is fine, but the texture is awful.",pass,,Bad texture compared with acceptable taste gives texture a concrete sensory meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
verbal,13148354,Tom insisted it was merely a verbal altercation and never got physical.,reject,violence; context-too-hard,A verbal altercation and whether it became physical add conflict and harder vocabulary unrelated to teaching verbal.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
wedge,10721994,Try a sliced apple with a lowfat cheese wedge.,pass,,A cheese wedge is a concrete food shape that gives wedge an immediate physical meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
avoid,11603073,Unmoderated hellholes remain extremely niche sites that most people avoid like the plague.,reject,political-heavy; other,Unmoderated hellholes and avoid like the plague use hostile internet slang and a loaded comparison instead of a neutral context for avoid.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
sensitive,11740650,Tom has been showing more of his sensitive side lately.,pass,,Showing a sensitive side is a natural interpersonal use that directly illustrates sensitive.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
trigger,12775721,He kept his finger on the trigger.,reject,violence,Keeping a finger on a trigger makes trigger depend on a weapon context that adds unnecessary violence to default learning.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
appeal,11051474,I'm trying to appeal to the reasonable side of people.,pass,,Appealing to people's reasonable side gives appeal a clear interpersonal persuasion meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
caution,12773788,Shall we move forward with caution?,pass,,Moving forward with caution is a common decision-making phrase that clearly shows caution.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
evil,13425218,Danish words look friendly on paper but turn evil when spoken.,pass,,The playful contrast between friendly-looking writing and evil speech gives evil a clear figurative use.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
abandon,12777390,True friends never abandon each other.,pass,,Friends not abandoning each other is a simple relationship context that directly shows abandon.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
apology,10104642,His so-called apology involved an inordinate amount of explanation and complaining.,reject,context-too-hard; weak-teaching-value,Inordinate explanation and complaining make the apology sentence depend on an uncommon adjective and a vague complaint context.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
associate,10234391,Tom graduated from community college with an associate degree.,pass,,An associate degree is a common educational credential that gives associate a clear noun meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
initial,10463318,It's not the initial cost that worries me. It's the upkeep.,pass,,Initial cost contrasted with upkeep gives initial a direct time-order meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
environment,12768057,Tom is focused on protecting the environment for future generations.,pass,,"Protecting the environment for future generations is a familiar, neutral civic context.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
scandal,11462429,A cheating scandal threatens to blemish the university's reputation for excellence.,pass,,A cheating scandal affecting a university reputation gives scandal a clear public-misconduct meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
controversial,11712497,I guess there are some controversial sentences you do like.,reject,context-dependent; weak-teaching-value,"The speaker refers to controversial sentences and personal taste without a clear situation, so controversial is not taught standalone.",phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL,false
fake,11592999,I run a fake numbers station just to troll people.,reject,context-too-hard; public-controversy,A fake numbers station is a niche espionage and trolling context that adds specialist background to fake.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
principal,11612368,The principal chemical preservatives used in the curing of meats are borax and boric acid and sulfite of soda.,reject,specialist-background; context-too-hard,"Chemical preservatives, borax, boric acid, and sulfite create specialist chemistry load that overwhelms principal.",phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
banquet,12775929,The royal banquet was a feast for the senses.,pass,,"A royal banquet described as a feast gives banquet a concrete, familiar event context.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
oak,12769264,"He stands like the oak, unshaken by the storm.",pass,,The oak standing unshaken in a storm gives oak a clear tree reference with a simple metaphor.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
existence,12778582,Can we ever break free from the cycle of existence?,pass,,The cycle-of-existence question gives existence a clear abstract meaning without needing a prior story.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
strand,8971217,No strand goes with the other.,reject,unnatural-English; weak-teaching-value,No strand goes with the other is still awkward and does not provide a clear natural use of strand.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
finite,12777760,Is the universe infinite or finite?,pass,,"The contrast between infinite and finite gives finite a precise, self-contained meaning.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
decent,12003516,It's hard to get decent information about what you're supposed to do.,pass,,Decent information about what to do is a common everyday request that clearly shows decent.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
claim,11240042,"Kiwifarms is everything reactionaries claim ""cancel culture"" is and more.",reject,political-heavy; public-controversy; context-too-hard,"Kiwifarms, reactionaries, and cancel culture create a niche political controversy that overwhelms claim.",phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
slash,10718770,The move has sparked alarm and is intensifying efforts to slash energy consumption and find alternatives.,pass,,Slashing energy consumption is a clear modern use of slash as sharply reducing something.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
skip,12318330,I never skip the theme song to this show.,pass,,Skipping a show's theme song is a familiar media habit that directly demonstrates skip.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
accomplish,12055055,"I was demoralised at times, but I knew I had to forge ahead to accomplish my dream.",pass,,Forging ahead to accomplish a dream gives accomplish a clear goal-completion meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
contribution,9951046,My contribution is still pending approval.,pass,,A contribution waiting for approval is a concise workplace or group context that makes contribution clear.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
essence,12767857,Privacy protects the essence of who we are.,pass,,Privacy protecting who we are gives essence a clear central-quality meaning in a modern context.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
involve,8421520,Divide-and-conquer strategies involve pitting groups against one another.,pass,,Divide-and-conquer strategies involving groups gives involve a clear relation between an action and people.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
ancestor,12095498,Tabby cats exhibit the typical fur pattern of their wild ancestor.,pass,,A cat's wild ancestor gives ancestor a concrete family-line meaning with familiar vocabulary.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
dim,11989537,"Uranus is sometimes visible to the naked eye, but is very dim.",pass,,Uranus being dim to the naked eye provides a clear light-level meaning for dim.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cute,10054543,You're cute when you sleep. And also when you're awake.,pass,,"A cat being cute while asleep and awake is a simple, natural description of cute.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
monopoly,8832040,I have a monopoly on the truth.,pass,,Having a monopoly on the truth is a clear figurative use of monopoly as exclusive control.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
emerge,12772708,Not until dawn did the truth emerge.,pass,,Truth emerging at dawn gives emerge a direct coming-to-light meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
merely,11881330,A fetus is merely a part of the pregnant person's body until it is viable.,reject,medical-heavy; public-controversy,The fetus viability statement is a sensitive medical-policy context that adds unnecessary controversy to merely.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
conserve,12768043,Mary is learning how to conserve water in her gardening practices.,pass,,Conserving water in a garden is a practical environmental example that clearly shows conserve.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
interaction,10228572,Cats always need to feel like they have the choice to stop an interaction.,pass,,"Choosing whether to stop an interaction gives interaction a clear, modern social meaning.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
shark,12434433,That show jumped the shark a long time ago.,reject,weak-teaching-value; context-too-hard,Jumped the shark is a media idiom and does not teach the literal target shark in a useful default context.,phase-a-post-curation-review,216485891,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
consequence,12777775,Does every action have a consequence?,pass,,The question whether every action has a consequence is a direct and readable abstract example.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
orientation,10778152,This orientation course will teach you everything you need to know.,pass,,An orientation course is a familiar educational setting that makes orientation clear.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
industrial,11570817,These industrial parks were envisaged as havens for domestic and foreign investors.,pass,,Industrial parks and investors provide a coherent modern economic context for industrial.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
realistic,12759709,The concept of space tourism is becoming more realistic each year.,pass,,Space tourism becoming more realistic gives realistic a clear contrast with fantasy.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
oppose,11922411,"If you support banning foreign languages, you don't oppose censorship.",pass,,The sentence uses oppose in a readable logical contrast about support and censorship.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
buck,12331145,The burgers cost a buck apiece.,pass,,A burger costing a buck is a familiar informal price context that clearly shows buck.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
weary,12769245,The night cradles the weary soul.,reject,archaic; unnatural-English,The night cradles the weary soul is poetic and sentimental rather than modern ordinary English for weary.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,false
loyal,12777519,Would you remain loyal in hard times?,pass,,Remaining loyal in difficult times is a common relationship question that directly shows loyal.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
crowd,12775978,Her Highness smiled as she waved to the crowd.,pass,,A crowd responding to a royal wave gives crowd a concrete public-group meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
summit,12768262,They reached the summit at dawn.,pass,,Reaching a summit at dawn is a simple physical journey context that makes summit clear.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
aerial,12080130,It almost seems as though this freestyle aerial skier has no more mountains to conquer in his sport.,reject,specialist-background; context-too-hard,Freestyle aerial skiing is a specialized sport context that makes aerial harder than necessary for a default learner.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
verse,11613752,Latin poetry used quantitative verse during the life of the language.,reject,specialist-background; context-too-hard,Quantitative verse in Latin poetry is specialist literary material and does not provide a simple default context for verse.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
passion,12776137,Are you driven by your passion?,pass,,"Being driven by passion is a short, modern question that directly illustrates passion.",phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
assume,7792170,Let's assume you're right. So what?,pass,,Let's assume you're right is a familiar conversational conditional that clearly demonstrates assume.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
sensation,9631281,I can't enjoy reading without the tactile sensation of a physical book.,pass,,Tactile sensation from reading a physical book gives sensation a concrete sensory meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
divorce,13148373,Tom and Mary were going through a messy divorce at the time.,pass,,Going through a messy divorce is an ordinary relationship context that clearly illustrates divorce.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
grease,10147463,Put some elbow grease into it.,pass,,Put some elbow grease into it is a common idiom built around grease as effort.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
conform,12190656,"The backrest should conform to the natural curvature of your spine, and provide adequate lumbar support.",reject,medical-heavy; context-too-hard,Spinal curvature and lumbar support are anatomical and medical terms that make conform harder than the target.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
acknowledge,11770179,You aren't neutral because you refuse to acknowledge your agenda.,reject,political-heavy; public-controversy,Refusing to acknowledge an agenda frames acknowledge in an accusatory political argument rather than a neutral context.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
cathedral,10107577,The old cathedral is a popular tourist attraction.,pass,,An old cathedral attracting tourists gives cathedral a clear public-building meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
overhear,552742,How charmed I am when I overhear a German word which I understand!,pass,,Overhearing a word that the speaker understands is a complete and natural listening context for overhear.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
property,9951051,Tom installed security cameras on his property to deter thieves.,pass,,Security cameras installed on property to deter thieves gives property a clear ownership-and-place meaning.,phase-a-post-curation-review,216485891,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
remainder,12180709,Tom lived out the remainder of his days in peace and quiet reflection.,reject,death-heavy; archaic,The remainder of his days in quiet reflection is a death-adjacent literary phrase that is not a modern default context.,phase-a-post-curation-review,216485891,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,false
