word,sentenceId,sentence,decision,categories,rationale,reviewType,selectionSource,seed,semanticDecisionSource,defaultLearningAppropriateness,targetTeachingValue,contextVocabularyLoad,syntaxSimplicity,standaloneClarity,topicNeutrality,naturalModernEnglish,finalEditorDecision,severeInappropriate
unity,12766838,Spirituality reveals the unity of all things.,reject,religious-heavy; weak-teaching-value,"The spiritual claim that all things are unified is vague and belief-dependent, so it supplies little concrete teaching value for unity.",phase-a-random-review,,216485889,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,false
strand,8971219,There is no strand that goes with the other.,reject,unnatural-English; weak-teaching-value,The wording about a strand going with the other is awkward and leaves the intended meaning of strand unclear.,phase-a-random-review,,216485889,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
impose,11690636,Schools have no right to impose cis ideology on children.,reject,political-heavy; context-too-hard; public-controversy,The phrase cis ideology makes impose depend on a sensitive culture-war claim and specialist identity vocabulary unrelated to basic verb teaching.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
intelligent,11066563,How common is intelligent life in the universe?,pass,,The question about intelligent life uses intelligent in a familiar contrast with ordinary life and keeps the sentence self-contained.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
betray,11979494,Don't tell me that my knee is going to betray me again!,pass,,Personifying a painful knee as betraying the speaker is a natural figurative use that clearly shows betray.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
exploit,11267108,"Drug prohibition doesn't aim to help addicts, but to exploit their vulnerability.",reject,political-heavy; medical-heavy,The sentence makes exploit depend on a contentious drug-prohibition argument and addiction-policy background rather than a neutral example.,phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
volunteer,12765408,Mary became a trusted volunteer at the local child care center.,pass,,A trusted volunteer at a childcare center gives volunteer a normal civic role with simple surrounding vocabulary.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
diverse,11753259,Bangladesh is a diverse country with a rich culture and history.,pass,,"A country with rich culture and history is a straightforward, neutral setting for diverse.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
mental,12187297,Tom is a patient advocate for people with mental health conditions.,pass,,Patient advocate and mental health conditions show mental in a common social-health collocation without technical detail.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
remote,11989538,Head to a remote area and look up at the sky after midnight.,pass,,"Going to a remote area and looking at the sky gives remote a concrete, standalone location contrast.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
appropriate,11844549,People marching with swastika flags are not appropriate for children.,reject,extremism; hate,Swastika flags introduce extremist imagery and historical hate into an example whose target appropriate does not need that burden.,phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
conduct,12766103,Did they conduct a cybersecurity audit recently?,pass,,"Conducting a cybersecurity audit is a clear modern example of conduct meaning carry out, and the sentence is a complete question.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
literal,10129480,I decided to interpret your remark in the most literal way possible.,pass,,Interpreting a remark literally demonstrates the target contrast with figurative meaning in a self-contained sentence.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
previous,12338108,Do you want to overwrite the previous saved data?,pass,,"Overwriting previously saved data is a common, concrete use of previous with no extra background.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
toss,11011223,I'm going to toss another log on the fire.,pass,,Tossing a log onto a fire is an ordinary physical action that makes the target immediately understandable.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
wealth,12382856,The adventurers were promised untold wealth and glory.,pass,,Untold wealth and glory provides a familiar narrative phrase in which wealth is the central noun.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
perspective,9930918,"People need to hear your perspective, however unfashionable it may be.",pass,,"A person's perspective is directly contrasted with how unfashionable it may seem, making the target's viewpoint meaning clear.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
stereotype,12380405,"Contrary to stereotype, not every whale is big. That's according to our onboard naturalist.",pass,,The whale example explicitly contrasts a stereotype with an exception and remains understandable despite the naturalist aside.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
potential,12768718,I see the potential in every challenge I face.,pass,,The phrase potential in every challenge shows the target as a possible quality or opportunity in ordinary language.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
crush,8787817,The emperor swore to crush the separatists once and for all.,reject,violence; political-heavy,"Crushing separatists frames the target in violent political conflict, adding unnecessary ideological background to a common verb.",phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
force,12778540,Is love the most powerful force in the universe?,pass,,Love as a powerful force is an accessible metaphor that clearly illustrates force as an influence.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
millionaire,8736656,"Whenever someone blames immigrants for their problems, a millionaire opens a bottle of champagne.",reject,political-heavy; public-controversy,Blaming immigrants and a millionaire's reaction makes millionaire part of a loaded political and class satire rather than a neutral example.,phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
productive,10139336,Shouldn't you be doing something more productive with your time?,pass,,The question about doing something productive is everyday self-management language with the target used naturally.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
donation,13148360,Please make a donation to charity in lieu of flowers.,reject,death-heavy; context-dependent,"A donation in lieu of flowers assumes an obituary or funeral context, adding death-related background not needed to teach donation.",phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,false
theme,10485504,You can toggle on the dark theme in the hamburger menu.,pass,,A dark theme in a menu is a concrete modern interface use that makes theme easy to understand.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
account,10054440,Someone hacked into my account and changed the password.,pass,,"A hacked account and changed password give account a familiar, self-contained digital meaning.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
toll,11117042,Space travel takes a heavy toll on one's body.,pass,,Space travel taking a toll on the body shows toll as a cost or harmful effect in a clear metaphor.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
universe,11535617,Everything in the universe is either a potato or not a potato.,pass,,"The playful potato comparison still places universe in a complete, memorable sentence and does not require outside context.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
survive,12759621,Astronauts must wear special suits to survive in space.,pass,,Astronaut suits and survival in space give survive a concrete cause-and-effect setting.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
obscene,9945613,"Tom didn't say anything, but he made an obscene gesture before walking away.",pass,,"An obscene gesture is a common, concise example of obscene without graphic detail.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cabin,12764849,The mountain cabin had a stunning view of the valley below.,pass,,"A mountain cabin with a valley view is a simple, vivid setting that makes cabin clear.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
rupture,11165197,"After extensively studying the quake and its aftermath, scientists say the rupture is unprecedented.",pass,,A quake's aftermath and an unprecedented rupture give rupture a concrete scientific meaning that remains readable.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
fundamental,6940259,Strict and inviolable gender roles have been fundamental to authoritarian regimes throughout history.,reject,political-heavy; public-controversy; context-too-hard,"Gender roles, authoritarian regimes, and inviolable add political and specialist load that is disproportionate to teaching fundamental.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
charge,12361250,Tom told me you were in charge around here.,pass,,Being in charge around here is a common idiom that directly demonstrates charge as responsibility or control.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
distort,1569414,Get the facts first. You can distort them later.,pass,,"The two short clauses show distort as deliberately changing facts, a clear and memorable verb use.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
constant,11992031,I've been in constant goblin mode ever since I was laid off.,reject,context-too-hard; other,"Goblin mode is niche internet slang, so the sentence makes the ordinary target constant depend on cultural knowledge that a default learner may not have.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
rating,10092480,I don't want my rating to go down.,pass,,"A rating going down is a direct, everyday example of rating as an evaluation.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
label,9805889,"If you had a warning label, what would yours say?",pass,,A hypothetical warning label invites a clear label description and uses the target in a familiar object context.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
spouse,8811887,"Mary is my spouse, and I am their husband.",pass,,The sentence directly identifies a spouse and uses a complete family relationship context without extra background.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
approve,10142346,Tom's parents didn't approve of his lifestyle.,pass,,Parents not approving of a lifestyle shows approve in a natural interpersonal judgment without specifying a sensitive group.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
twist,10819776,You could see the film's twist ending coming from a mile away.,pass,,"A film's twist ending is a familiar storytelling context, and the idiom reinforces that twist was predictable.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cumulative,9445676,"Lost sleep has a cumulative effect, I've been told.",pass,,Lost sleep having a cumulative effect gives cumulative a clear additive meaning in an ordinary health context.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
accomplish,8921476,I can't believe such a lazy man will accomplish his job!,reject,unnatural-English; weak-teaching-value,"The collocation accomplish his job is unnatural, so the sentence does not model the target accomplish accurately.",phase-a-random-review,,216485889,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
conflict,12765633,Will the mission reach the conflict zone in time?,pass,,"A mission reaching a conflict zone makes conflict a concrete noun for an area of disagreement or danger, with simple syntax.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
terrain,10820386,The stunning photos reveal a complex and varied terrain on the icy dwarf planet.,pass,,Photos of varied terrain on a planet give terrain a concrete landscape meaning; the science setting is understandable.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
breach,12766137,Did the cybersecurity breach affect the whole network?,pass,,A cybersecurity breach affecting a network is a concise modern example that clearly shows breach as unauthorized access.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
argue,12391094,I don't want to watch you argue with people online.,pass,,"Arguing with people online is an ordinary, self-contained use of argue.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
invest,9004057,I can't decide whether to invest in a corporate bond or a gilt.,reject,context-too-hard; specialist-background,Corporate bonds and especially a gilt introduce specialist finance vocabulary that is harder than invest and unnecessary for its basic meaning.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
electricity,10903593,Researchers have devised a way to generate electricity using raw sewage and special bacteria.,pass,,The sewage-and-bacteria example describes generating electricity in a clear cause-and-effect sentence; both the action and result are understandable.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
equivalent,12123651,Liquorice is the food equivalent of nails on a chalkboard.,pass,,"Liquorice and the chalkboard comparison make equivalent visible as a similar sensory effect, despite the informal simile.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
eligible,11699064,"Unfortunately, you are no longer eligible for the prize.",pass,,"No longer eligible for a prize is a common, direct condition that clearly defines eligible.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
fragile,12767050,Trust is fragile in a world of betrayal.,pass,,Trust being fragile in a world of betrayal gives fragile a familiar metaphorical meaning with simple syntax.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
ruin,10154231,Continuity errors can ruin a show's immersive experience.,pass,,Continuity errors ruining a show's experience clearly illustrates ruin as damaging an outcome.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
queer,11451409,The way reactionaries are making queer kids feel right now is unconscionable.,reject,public-controversy; political-heavy,Reactionaries and queer children place queer in a current identity conflict with unnecessary ideological and emotional load.,phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
embark,11715327,Care to embark on the journey of a lifetime with me?,pass,,"Embarking on a lifelong journey is a natural, readable phrase that directly shows embark as beginning a trip.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
yacht,11867524,Another orca attacked a yacht in completely different waters.,pass,,A yacht attacked by an orca supplies a clear object-and-event context for yacht without graphic detail.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
brink,12765073,The crisis had pushed them to the brink of despair.,pass,,A crisis pushing someone to the brink of despair gives brink a clear boundary metaphor and remains self-contained.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
eclipse,12759695,A solar eclipse happens when the moon passes directly between Earth and the sun.,pass,,"The moon's position between Earth and the sun is a precise, accessible explanation of eclipse.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
expand,12435341,Can you expand on what you were talking about earlier?,pass,,Asking someone to expand on an earlier point is a common conversational use of the target.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
attack,11959445,The exact moment of the attack was caught on camera.,pass,,"The camera-recorded attack is a short, direct event context that makes attack unambiguous.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
cable,11211329,Could graphene be used to make a cable for a space elevator?,reject,specialist-background; fantastical-context,Graphene and a space elevator require specialist or speculative science background that overwhelms the simple target cable.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,false
disclose,12116570,I'm not at liberty to disclose to you the details of my mission.,pass,,Not being at liberty to disclose mission details is a natural collocation and clearly demonstrates disclose.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
owe,10564925,"You haven't forgot about the debt you owe me, have you?",pass,,A debt someone owes is an ordinary financial relationship that makes owe clear.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
infectious,9805228,How long is someone infectious after a viral infection?,pass,,The question about remaining infectious after a viral infection is a simple health use with the target central.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
behavior,11592852,Augury is divination based on the behavior of birds.,reject,context-too-hard; religious-heavy,"Augury and divination are obscure terms, so the bird-behavior sentence makes behavior depend on specialist religious background.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
response,12765131,Mary joined the emergency response team during the crisis.,pass,,Joining an emergency response team gives response a familiar organizational meaning in a complete sentence.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
quantitative,11613752,Latin poetry used quantitative verse during the life of the language.,reject,specialist-background; context-too-hard,"Quantitative verse in Latin poetry is a specialist literary topic, and the surrounding terminology is harder than quantitative.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
orbit,12759671,Space stations are like floating laboratories in orbit around Earth.,pass,,"A space station orbiting Earth is a concrete, familiar setting that makes orbit clear.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
faculty,12465802,I wonder what my old faculty advisor is up to.,pass,,A faculty advisor is a common university role and gives faculty a straightforward institutional meaning.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
supplementary,10352324,You may need a supplementary dose after six months.,pass,,"A supplementary dose after six months is a concise, understandable example of something added to a main dose.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
aid,12765295,Tom provided first aid to injured civilians during the emergency.,pass,,Providing first aid to injured civilians shows aid as help in a direct emergency context; the target meaning is not obscured.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
combat,12767892,What actions are needed to combat climate change effectively?,pass,,Combating climate change gives combat a clear figurative meaning of actively fighting a problem.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
alcohol,9320681,I don't think all of the alcohol in this dish burned off.,pass,,Alcohol burning off in food is an ordinary cooking question with the target used naturally.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
assign,12465773,You can't assign a string to a variable of type integer.,reject,specialist-background; context-too-hard,Assigning a string to an integer variable requires programming type knowledge that is much harder than the target assign.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
commission,11112092,You can commission me to draw your fursona by clicking here.,reject,context-too-hard; weak-teaching-value,The niche word fursona and the click-through commission request make this a specialized online context with weak default teaching value.,phase-a-random-review,,216485889,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
trait,12768284,Kindness is the most beautiful trait a person can have.,pass,,"Kindness is named as a personal trait, giving trait a simple and familiar definition.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
compatible,9800499,The pillow vowed to never bring compatible people together.,reject,unnatural-English; fantastical-context; weak-teaching-value,A talking pillow promising not to bring compatible people together is absurd and does not model a natural use of compatible.,phase-a-random-review,,216485889,sentence-read,NO,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,false
critic,11690629,James was an outspoken critic of cisgenderism.,reject,context-too-hard; public-controversy,"Cisgenderism is specialist identity vocabulary tied to a charged debate, adding unnecessary load to teaching critic.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,false
protest,12490314,Throwing food on people as a form of protest has a long history.,reject,violence; political-heavy,"Throwing food at people frames protest through harassment and confrontation rather than a neutral, standalone civic example.",phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
convince,10291458,I know what I saw and you can't convince me otherwise.,pass,,The speaker's certainty about what was seen makes convince clear as changing someone's belief.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
pumpkin,8289410,Smash the boiled pumpkin pieces then add some salt and spices.,pass,,"Smashing boiled pumpkin while cooking is a concrete, everyday verb use.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
insist,10143793,Why do you insist on being right all the time?,pass,,Insisting on being right is a common interpersonal situation that clearly shows insist.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
alien,12759640,Landing on an alien planet is a dream many scientists hope to achieve.,pass,,Landing on an alien planet gives alien a clear contrast with familiar Earth life in a readable science-fiction setting.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
confirm,12141775,Tom can neither confirm nor deny any of the claims made about him.,pass,,Confirm or deny claims is a standard phrase that directly demonstrates confirm.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
conception,11168053,The popular conception of evolutionary psychology is even less scientific than the discipline itself.,reject,specialist-background; context-too-hard,Evolutionary psychology and its scientific status require academic background that is harder than conception and distracts from the target.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,false
pledge,11516152,Five is too young to pledge allegiance to a flag.,pass,,Pledging allegiance to a flag is a recognizable civic phrase that clearly shows pledge as a promise or commitment.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
scope,8679645,The team needs to define the scope of the project by Monday.,pass,,Defining a project's scope by a deadline is a common teamwork example with both targets used plainly.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
monitor,11600981,Whoever invented the touchscreen monitor did not have a cat.,pass,,"A touchscreen monitor and a cat make monitor a concrete object in a light, self-contained sentence.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
illusion,12777891,Is time an illusion created by the mind?,pass,,The question about time being an illusion gives illusion a familiar abstract meaning without requiring a prior story.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
magnificent,10650947,But this magnificent appellation was all she gained by her marriage.,reject,context-too-hard; archaic,Appellation is an uncommon literary word and the marriage sentence makes magnificent secondary to a difficult historical title.,phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,false
aspect,11767591,The right wants to dictate every aspect of your life.,reject,political-heavy; public-controversy,"The claim about the political right dictating every aspect of life is a current ideological argument, not a neutral context for aspect.",phase-a-random-review,,216485889,sentence-read,NO,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,false
linen,10968851,Through a piece of linen he punched holes with a porcupine quill.,reject,context-too-hard; weak-teaching-value,"Porcupine quills and punching holes are unusually specific craft details, while the sentence gives linen little ordinary teaching context.",phase-a-random-review,,216485889,sentence-read,NO,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,false
economy,12766071,Will the economy recover from the global recession?,pass,,Recovery from a global recession is a familiar economic context that makes economy clear.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
reaction,13320174,Mary took the mickey out of Tom's dramatic reaction to a tiny spider.,reject,context-too-hard; unnatural-English,"Took the mickey is a region-specific idiom, so the sentence makes reaction depend on cultural knowledge unrelated to the target.",phase-a-random-review,,216485889,sentence-read,NO,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,false
logical,10755878,There's got to be a logical explanation for this.,pass,,"A logical explanation is a common phrase that gives logical a clear, standalone use.",phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
supplement,11699269,I'm looking for an easy way to supplement my income.,pass,,Supplementing income is an ordinary financial use that clearly shows adding to an existing amount.,phase-a-random-review,,216485889,sentence-read,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,false
