word,en,sentenceId,qualityScore,standalone,nonTargetVocabulary,neutralTopic,simpleSyntax,teachingValue,severeInappropriate,passed,notes
complex,The stunning photos reveal a complex and varied terrain on the icy dwarf planet.,10820386,92,true,true,true,true,true,false,true,
mall,Most of the U.S. is just the same big strip mall.,10053972,85,true,true,true,true,true,false,true,
ingredient,You can use any ingredient that can be skewered on a stick.,11495155,95,true,true,true,true,true,false,true,
feast,The royal banquet was a feast for the senses.,12775929,92,true,true,true,true,true,false,true,
evaluate,I don't understand French well enough to evaluate poetry in the language.,12262025,85,true,true,true,true,true,false,true,proper-noun penalty=1
unique,Floating in zero gravity is a unique experience for astronauts.,12759588,96,true,true,true,true,true,false,true,
confirm,Tom can neither confirm nor deny any of the claims made about him.,12141775,94,true,true,true,true,true,false,true,
mansion,Tom grew up in a terraced house just down the road from a ginormous mansion.,9004046,74,true,true,true,true,true,false,true,
protein,How do you get your protein?,12334989,63,true,true,true,true,true,false,true,
epoch,Scientists say a new geologic epoch has begun whereby humans are causing major damage to global water systems.,11044319,75,true,true,true,true,true,false,true,
enormous,This enormous longhorn beetle is found around mango and fig trees.,9998017,85,true,true,true,true,true,false,true,standalone penalty=10
monitor,Whoever invented the touchscreen monitor did not have a cat.,11600981,96,true,true,true,true,true,false,true,
initiative,"Since launching their initiative in April, residents agree the district is much tidier.",12105187,82,true,true,true,true,true,false,true,rare context tokens=1
enthusiastic,"While some were more enthusiastic about the job than others, she says nearly all agreed waitressing is hard work.",12042057,59,true,true,true,true,true,false,true,rare context tokens=1
chapel,The priest is in the chapel.,10101638,45,true,true,false,true,true,false,false,topic penalty=18
fascinate,His baboon story will fascinate and entertain you for sure.,11167170,95,true,true,true,true,true,false,true,
rivalry,There's a rivalry between our schools.,10162430,74,true,true,true,true,true,false,true,
background,"The man in the background is my grandfather, and my father is in the foreground.",9489982,80,true,true,true,true,true,false,true,
pasture,The above ground pool and deck overlook the pasture and rolling hills.,10722017,96,true,true,true,true,true,false,true,
sturdy,Their characteristic waddle and playful appearance make these sturdy marsupials one of the country's most endearing native creatures.,12267079,68,true,true,true,true,true,false,true,
nasty,A pair of mischievous children used a stick to write nasty words in the wet cement.,11778593,82,true,true,true,true,true,false,true,
elite,Tom went to an elite preparatory school.,9365572,76,true,true,true,true,true,false,true,
clarity,I find clarity in the quiet of dawn.,12770617,83,true,true,true,true,true,false,true,
severe,Tom was diagnosed with autism and severe depression.,7249248,86,true,true,true,true,true,false,true,
consensus,There doesn't seem to be consensus on this among speakers.,12321418,95,true,true,true,true,true,false,true,
generate,Researchers have devised a way to generate electricity using raw sewage and special bacteria.,10903593,92,true,true,true,true,true,false,true,
ideal,Are there things you could start doing now to make your ideal future closer to becoming a reality?,12131446,76,true,true,true,true,true,false,true,
discount,You'll get a discount on your next order.,12105706,84,true,true,true,true,true,false,true,
panic,The crisis put everyone in a state of panic.,12764926,77,true,true,true,true,true,false,true,
equator,The nineteen islands that make up the Galapagos lie along the equator one thousand kilometers west of Ecuador.,12388999,43,true,true,true,true,true,false,true,proper-noun penalty=2; rare context tokens=1
criminal,A criminal is someone who commits a crime.,12327969,56,true,true,false,true,true,false,false,topic penalty=24
explore,Spacecraft can travel billions of miles to explore distant planets.,12759616,96,true,true,true,true,true,false,true,
extent,Extend your legs only to the extent of your space.,11083766,95,true,true,true,true,true,false,true,
illegal,It's illegal to aid and abet another person in committing a felony.,10322445,82,true,true,true,true,true,false,true,standalone penalty=10
buzz,I'm downstairs. Can you buzz me in?,12412133,76,true,true,true,true,true,false,true,
combine,Coffee roasters combine beans from different areas to make coffees with different tastes and qualities.,11838477,75,true,true,true,true,true,false,true,rare context tokens=1
sober,A drunk man's words are a sober man's thoughts.,9141049,92,true,true,true,true,true,false,true,
susceptible,Experts have concluded that the country's power grid is susceptible to a cyber attack.,10284730,92,true,true,true,true,true,false,true,
enroll,Did Mary enroll in a new learning course?,12766031,72,true,true,true,true,true,false,true,proper-noun penalty=1
instrument,"Tom doesn't play a real instrument, but he does play a mean air guitar.",6121998,87,true,true,true,true,true,false,true,
bump,This post is worth a bump!,9794985,52,true,true,true,true,true,false,true,standalone penalty=10
priority,Has cybersecurity become a national priority?,12766153,69,true,true,true,true,true,false,true,
armor,Data security is the armor of modern life.,12767858,84,true,true,true,true,true,false,true,
overwhelming,Astronauts often describe space as both beautiful and overwhelming.,12759700,84,true,true,true,true,true,false,true,
charge,Tom told me you were in charge around here.,12361250,86,true,true,true,true,true,false,true,
confidence,You reflect a quiet confidence in all that you do.,12768727,95,true,true,true,true,true,false,true,
bounce,Can the economy bounce back after the crisis?,12766062,89,true,true,true,true,true,false,true,
spite,"In spite of everything, Tom is happy.",7335526,55,true,true,true,true,true,false,true,proper-noun penalty=1
interact,I no longer have to interact with people I have little to nothing in common with.,10018036,82,true,true,true,true,true,false,true,
brand,What brand of laundry detergent do you usually buy?,10107540,88,true,true,true,true,true,false,true,
humanity,Humanity must confront its greatest challenges.,12766733,69,true,true,true,true,true,false,true,
abuse,Abuse of power is only possible because we let people have power.,11600790,86,true,true,true,true,true,false,true,
