word,sentenceId,sentence,decision,categories,rationale,reviewType,seed,severeInappropriate
imitate,13420210,Danish just sounds impossible to imitate.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
denial,11538966,I was in denial of being an emo kid.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
assess,10142195,Tom got out of his car to assess the damage.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
ancient,12767953,Mary enjoyed exploring ancient ruins during her travels.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
restore,12765277,They joined the effort to restore order after the natural disaster.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
theft,8343551,All intellectual property is theft from the public domain.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
mission,12765106,The space mission was an urgent matter for the crew.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
environment,12768057,Tom is focused on protecting the environment for future generations.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
strive,12776148,Do you strive to be the best version of yourself?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
maintain,12765166,They were part of the effort to maintain peace and order.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
bronze,12092164,The artifacts included statues and pieces made of bronze and terracotta.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
fiction,11105311,I'd like to be able to read fantasy and science fiction in other languages.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
blink,12772613,Everything changed in the blink of an eye.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
nickname,9805796,Have you ever had a nickname? What is it?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
annoy,11669225,I pronounced his name wrong on purpose to annoy him.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
invert,11224170,"Tap the ""A"" button to add a blue filter and invert colors so light becomes dark and dark becomes light.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
generous,11027274,Her seemingly generous actions turned out to be motivated purely by profit.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
blaze,10844059,Tom wanted to go out in a blaze of glory.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
financial,9949953,I am once again asking for your financial support.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
revelation,10545401,It's not a particularly brilliant revelation of mine.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
snack,10156697,Tom bought a snack from the vending machine.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
mansion,9004046,Tom grew up in a terraced house just down the road from a ginormous mansion.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
confident,12774838,Are you confident in the outcome?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
associate,10234391,Tom graduated from community college with an associate degree.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
triumph,12777581,Does good always triumph over evil?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
mask,9971289,You still need to wear a mask until herd immunity is achieved.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
survival,12766032,Is there enough food for survival on the island?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
monster,10099733,You are every bit the monster you claim we've become.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
contribute,12768002,Tom believes every garden should contribute to the ecosystem.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
loyalty,12777546,Do you think loyalty is the key to lasting love?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
protein,12334989,How do you get your protein?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
retention,12777177,She works on employee retention strategies.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
elaborate,6121835,Tom has to perform elaborate rituals to alleviate his fear of spontaneous combustion.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
burden,12773473,To know the truth is both a gift and a burden.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
devise,12417932,We need to devise a plan.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
prey,10513877,Owls can prey on skunks because they have no sense of smell.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
fellowship,11997702,"Over the years since my fellowship ended, they have continued to be my biggest cheerleaders on my scientific journey.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
essence,12767857,Privacy protects the essence of who we are.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
enroll,12766031,Did Mary enroll in a new learning course?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
interpret,10129480,I decided to interpret your remark in the most literal way possible.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
avoid,12759689,Astronauts have to stay physically fit during long space missions to avoid muscle loss.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
draft,12331780,Can you read the rough draft of my essay?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
migrate,9935723,Some birds migrate to roost during specific seasons.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
background,9489982,"The man in the background is my grandfather, and my father is in the foreground.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
fantasy,11745914,I'm studying cartography for the fantasy book I'm working on.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
mechanical,10233192,One of the benefits of using mechanical pencils is that you don't need to use a pencil sharpener.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
oak,12769264,"He stands like the oak, unshaken by the storm.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
diffuse,11165205,"There were no galaxies or even stars, only diffuse gas.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
radius,12426332,What is the radius of a hydrogen atom?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
infinite,12778581,Do we live in a world of infinite possibilities?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
domain,11043132,The musician releases her less successful works into the public domain.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
porch,12472073,Grackles keep coming to eat the cat food on the porch.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
midst,12770660,I seek calm in the midst of chaos.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
overlap,11700157,My sentences and my opinions only sometimes overlap.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
feast,12775929,The royal banquet was a feast for the senses.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
implication,12095704,I resent your implication that I am engaged to you only because of your money.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
fuel,12767823,Resilience turns failures into fuel for growth.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
compromise,8783759,Compromise only makes sense when all parties are acting in good faith.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
acceptance,11558339,Reading this sentence constitutes acceptance of its terms and conditions.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
inland,10940123,"As climate change raises sea levels, salty ocean water is pushing its way inland.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
economic,12766111,Did the economic crisis affect local businesses?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
evolution,11076028,He is an anthropology professor at our university who studies the evolution of societies.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
property,9951051,Tom installed security cameras on his property to deter thieves.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
revive,12113816,"But now there's work afoot to revive many of these dead languages, and not just for sheer academic pleasure.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
melt,10001845,The surface of Venus is hot enough to melt lead.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
conserve,12768043,Mary is learning how to conserve water in her gardening practices.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
album,12434390,The band's final album was met with universal acclaim.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
foster,11899180,There are far more children in foster care than there are potential adopters.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
provided,12765295,Tom provided first aid to injured civilians during the emergency.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
banquet,12775929,The royal banquet was a feast for the senses.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
versatile,12175541,Swiss Army knives are versatile tools.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
recover,12766071,Will the economy recover from the global recession?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
essential,12768331,Taking time to care for yourself is essential for your health.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
sponge,11032606,Could you pass me that sponge?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
slope,11473157,On the slope of the roof two men were repairing the tiling.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
hike,12764841,Tom and Mary took a scenic hike along the coast.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
identification,10722159,"It is advisable to bring some photographic identification, such as a valid passport.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
collision,10142197,"After the collision, Tom and Mary exchanged insurance information.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
extinct,12154755,Stegosaurs dwindled in the Cretaceous and appear to have gone extinct before the end of the period.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
crime,12765349,Tom worked to reduce crime in the city through community outreach.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
mingle,10236666,Tom is single and ready to mingle.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
clone,10782358,Creating a digital clone of someone's voice is now easier than ever.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
receipt,10110907,I can't return the product without a receipt.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
sprinkle,8773731,"As a final touch, sprinkle some chocolate chips on top of the cookies.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
recognize,8734160,A dog is that animal which another dog will instinctively recognize as such.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
implement,12065621,"The idea is very interesting, but I'm worried about how we are going to implement it.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
sensation,9631281,I can't enjoy reading without the tactile sensation of a physical book.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
bruise,10755767,That's going to leave a bruise.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
flask,10175666,Tom keeps a flask in his inside jacket pocket.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
minimum,11930712,Do you really expect me to do the work of five people for minimum wage?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
immerse,10718787,Place a few oysters at one time in a wire frying basket and immerse in smoking hot fat.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
extensive,10169351,"After an extensive investigation, Tom was cleared of any wrongdoing.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
boring,12406383,"The lecture was pretty boring, so I started to doze off.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
destined,12778575,Are we destined to repeat our mistakes?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
blank,11944712,The whole work is written in blank verse.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
intersection,11166818,The light was still yellow when the car entered the intersection.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
extent,11083766,Extend your legs only to the extent of your space.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
objection,11857324,I have no objection to your calling in your friend if I may call in mine.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
annual,12775977,The royal family gathered for the annual portrait.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
confusion,12771044,Everything was lost in the confusion.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
contest,10832772,Tom came in second place at the hot dog eating contest.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
stereo,12071337,"I had never been in a recording studio. At that time, we didn't have stereo. Everything was mono.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
discipline,11168053,The popular conception of evolutionary psychology is even less scientific than the discipline itself.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
absence,12777813,Can peace be found in the absence of conflict?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
prescription,9805178,Can I pick up a prescription for someone else?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
armor,12767858,Data security is the armor of modern life.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
monopoly,8832040,I have a monopoly on the truth.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
wallet,10723416,This wood wallet is crafted from a single piece of walnut.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
spectrum,10428172,I think I'm on the ace spectrum.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
masterpiece,12768631,"I watch the sky shift colors at dusk, a fleeting masterpiece.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
fold,10765107,Fold and unfold along each of the lines to make a crease.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
resolve,12766154,Are diplomatic efforts enough to resolve the crisis?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
install,10116182,Can you help me install this program?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
update,10545369,She's going to try rolling back an update.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
enthusiasm,12759773,Mary appreciates Tom's enthusiasm when it comes to discovering new things.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
grease,10147463,Put some elbow grease into it.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
unfold,10765107,Fold and unfold along each of the lines to make a crease.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
brood,11091792,Tom brought his whole brood with him.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
scandal,11462429,A cheating scandal threatens to blemish the university's reputation for excellence.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
sober,9141049,A drunk man's words are a sober man's thoughts.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
bandage,9805138,How do I apply a bandage?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
cluster,11244047,The cottage was one of a small lonely cluster standing on the edge of an enormous beech wood.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
courtesy,10164957,"Where I come from, that's just common courtesy.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",random-semantic-pass1,216481793,false
