word,sentenceId,sentence,decision,categories,rationale,reviewType,seed,severeInappropriate
alternative,13148347,Onions rings are an underrated alternative to fries.,reject,unnatural-English,"The wording is awkward, archaic, or unnatural for a modern default teaching example.",risk-targeted,,false
ambition,11676112,I have no ambition to outshine him or any other erudite.,reject,context-too-hard,The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
ambitious,12775184,She sets ambitious goals for herself.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
ammunition,11891468,"How did live ammunition get on set, anyway?",reject,violence,"The sentence adds unnecessary violence, weapons, threats, or graphic harm to a default learning context.",risk-targeted,,false
analysis,12034469,"Based on initial data analysis, the collared bears rarely forayed outside the park.",reject,context-too-hard,The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
ancestor,12095498,Tabby cats exhibit the typical fur pattern of their wild ancestor.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
annoy,11669225,I pronounced his name wrong on purpose to annoy him.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
annual,12775977,The royal family gathered for the annual portrait.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
anonymous,11076401,Alcoholics Anonymous is a faith healing program.,reject,obscure-background; context-too-hard,"The sentence requires obscure names, places, history, or specialist background before it can be understood. The surrounding vocabulary or technical background is substantially harder than the target word.",risk-targeted,,false
appearance,12768386,Tom understands that beauty is more than appearance.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
appropriate,11844548,Nazis marching outside libraries are not appropriate for children to see.,reject,extremism; political-heavy,The sentence places Nazis in a default child-facing context and is not a neutral teaching example.,risk-targeted,,false
apt,10359369,Sometimes literal translations are perfectly apt.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
arrangement,11354864,"Meanwhile, Malawi's government says it plans to implement the visa-free waiver arrangement starting in January.",reject,political-heavy; proper-noun-heavy; context-too-hard,The sentence is a news-style government and visa-policy report with unnecessary country and institutional background.,risk-targeted,,false
array,11221845,Each arm of the eyeglass frame has an array of four tiny directional microphones.,reject,specialist-background; context-too-hard,Directional microphones built into eyeglass frames create technical hardware detail that overwhelms array.,risk-targeted,,false
arrest,10009479,The Jackson family fell into disrepute after Tom's arrest.,reject,obscure-background; context-dependent,"The sentence requires obscure names, places, history, or specialist background before it can be understood. The sentence is not sufficiently standalone or leaves a key reference unresolved.",risk-targeted,,false
arrogant,12095760,"In an archival interview, he was careful not to overrate his success or appear arrogant.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
artificial,12112357,We started our own nation on an artificial platform on the sea.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
ascend,10722100,Who of those who have been cast down by sin shall ascend?,reject,religious-heavy; unnatural-English,"The sentence depends on a religious controversy or background that is unnecessary for the target word. The wording is awkward, archaic, or unnatural for a modern default teaching example.",risk-targeted,,false
assault,12154787,Restricting trans bathroom use leads to the sexual assault of trans people.,reject,sexual; violence; hate,The sentence describes sexual assault in an identity-based political dispute.,risk-targeted,,false
assert,9141055,"If America were the best country in the world, it wouldn't need to constantly assert this.",reject,political-heavy,The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word.,risk-targeted,,false
asset,12766677,Humanity's greatest asset is its compassion.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
assignment,11315186,I can help you with that assignment.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
associate,10234391,Tom graduated from community college with an associate degree.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
assumption,11266249,Your assumption that I love food is correct.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
assure,11206797,The bank's actions seemed to assure investors about the soundness of the governmental bonds.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
attach,11109115,Josh had surgery to attach the liver to the small intestine so the bile could drain.,reject,medical-heavy; context-too-hard,The sentence requires specialist surgical and anatomical background that overwhelms the ordinary target-word use.,risk-targeted,,false
attain,9801023,Can we not attain to some farther-reaching philosophy?,reject,unnatural-English; context-too-hard,"The wording is awkward, archaic, or unnatural for a modern default teaching example. The surrounding vocabulary or technical background is substantially harder than the target word.",risk-targeted,,false
attitude,10104692,His maverick attitude toward generally-accepted best practices didn't endear him to his superiors.,reject,context-too-hard,The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
attract,12768016,Tom is focusing on growing plants that attract pollinators.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
attractive,11081976,Reactionaries have tried in vain to force everyone to stop finding the wrong people attractive.,reject,political-heavy; weak-teaching-value,"The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word. The target word is incidental, ambiguous, or too weakly illustrated to justify the context burden.",risk-targeted,,false
attribute,2570990,Never attribute to malice that which is adequately explained by stupidity.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
auction,9452985,Tom bought his car at a forfeiture auction.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
audience,12147209,"The filmmaker's goal is to entertain, while also making her audience think.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
authentic,8108994,Israel is the land of all authentic prophets.,reject,religious-heavy; political-heavy,The sentence depends on a religious controversy or background that is unnecessary for the target word. The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word.,risk-targeted,,false
author,8700856,The author let down a lot of her fans with her transphobia.,reject,political-heavy,The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word.,risk-targeted,,false
autonomous,10966305,"Like their counterparts on land, autonomous ships are emerging as a new way to traverse the world's oceans.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
autonomy,10018041,How much of your own autonomy are you ceding to these people?,reject,context-dependent,The sentence is not sufficiently standalone or leaves a key reference unresolved.,risk-targeted,,false
avert,10107469,We need to act now if we want to avert disaster.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
award,11489638,He should get an award for his humanitarianism.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
awkward,11777864,I'm socially awkward in three languages.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
axis,8622843,The Axis occupation of Greece lasted three years.,reject,political-heavy; obscure-background,"The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word. The sentence requires obscure names, places, history, or specialist background before it can be understood.",risk-targeted,,false
background,9489982,"The man in the background is my grandfather, and my father is in the foreground.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bacteria,12315070,After harmful bacteria are removed the filtered water is disinfected with chemicals.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bamboo,11209064,"But construction companies in other regions use bamboo mostly in engineered form, as plywood and other laminated byproducts.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
band,11751685,The band played a mix of covers and original songs.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bandage,9805138,How do I apply a bandage?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
barren,12764977,The war left the land barren and lifeless.,reject,violence,The sentence places the target in an unnecessary war aftermath context.,risk-targeted,,false
basis,11927072,It's hard to avoid what forms the basis of the economic system.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
behave,8111692,The majority of Algerians behave like barbarians where they emigrate.,reject,hate,"The sentence contains an identity-based generalization, slur-adjacent framing, or hateful conflict that is not needed for teaching.",risk-targeted,,false
beneficial,10770595,Further discussion of this topic is unlikely to be beneficial.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bizarre,10357464,"Tom's actions might seem bizarre, but he's actually playing five-dimensional chess.",reject,fantastical-context; weak-teaching-value,Five-dimensional chess is a niche metaphor that adds cultural and fantastical load unrelated to the basic target bizarre.,risk-targeted,,false
blank,11944712,The whole work is written in blank verse.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
blossom,11068644,"Cherry blossom, cedar and white birch trees provide different flavors of alcohol in Japan.",reject,weak-teaching-value,"The target word is incidental, ambiguous, or too weakly illustrated to justify the context burden.",risk-targeted,,false
blunt,11905387,Tom's moody temperament sometimes leads him to make blunt remarks.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
blur,10220456,The photo editor includes a feature which allows users to add a blur effect to images.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bonus,8952220,"Some are just chubby, others have a bonus goiter.",reject,medical-heavy; weak-teaching-value,A bonus goiter introduces an unexplained medical abnormality that is unrelated to teaching bonus.,risk-targeted,,false
border,12381075,The tunnel was used to smuggle contraband across the border.,reject,political-heavy; context-too-hard,Smuggling contraband across a border adds criminal and border-policy background unrelated to teaching border.,risk-targeted,,false
brand,10107540,What brand of laundry detergent do you usually buy?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
breakthrough,10164869,Tom was responsible for more than one significant scientific breakthrough.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
brilliant,10545401,It's not a particularly brilliant revelation of mine.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
brisk,10844733,"As online shopping posts brisk growth in India, investors are pouring billions of dollars into e-commerce companies.",reject,unnatural-English; context-too-hard,"The wording is awkward, archaic, or unnatural for a modern default teaching example. The surrounding vocabulary or technical background is substantially harder than the target word.",risk-targeted,,false
bronze,12092164,The artifacts included statues and pieces made of bronze and terracotta.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
brood,11091792,Tom brought his whole brood with him.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bruise,10755767,That's going to leave a bruise.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
buck,12331145,The burgers cost a buck apiece.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bud,13423075,"If we stick together, we can nip this nonsense in the bud.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
budget,11976447,The U.S. should slash its military budget in half.,reject,political-heavy; violence,The sentence is a partisan military-spending prescription rather than a neutral example of budget.,risk-targeted,,false
bulk,10750477,It's cheaper if you buy in bulk.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bull,10786896,"Its father was a very good bull, and I am expecting her to give me a very good heifer.",reject,context-too-hard,The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
bully,10021723,A bully gave Tom a swirly.,reject,violence; context-too-hard,"The sentence adds unnecessary violence, weapons, threats, or graphic harm to a default learning context. The surrounding vocabulary or technical background is substantially harder than the target word.",risk-targeted,,false
bump,9794985,This post is worth a bump!,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
burden,12773473,To know the truth is both a gift and a burden.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bureaucracy,8801510,Adolf Eichmann hated rules and was contemptuous of bureaucracy.,reject,extremism; obscure-background,"The sentence requires extremist or Nazi-related context that is not necessary to teach the target word. The sentence requires obscure names, places, history, or specialist background before it can be understood.",risk-targeted,,false
burial,10114581,White is one of a few students whose remains were shipped home to family for burial.,reject,death-heavy; context-dependent,"Shipped remains and family burial make this a death-heavy, context-dependent sentence that is not appropriate as a default example for burial.",risk-targeted,,false
bust,11389113,Today has been a bust... a bummer!,reject,unnatural-English; weak-teaching-value,"Bust and bummer are both slangy, and the ellipsis leaves the intended meaning less clear than a modern default example should.",risk-targeted,,false
buzz,12412133,I'm downstairs. Can you buzz me in?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
bypass,10249063,"Exposing bad ideas doesn't kill them because people aren't perfectly rational, and propaganda is designed to bypass reason.",reject,extremism; political-heavy; context-too-hard,The sentence requires extremist or Nazi-related context that is not necessary to teach the target word. The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word. The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
cabinet,10139357,Tom peeked into Mary's medicine cabinet.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cancer,10806002,Exposure to these chemicals can increase your risk of developing cancer.,reject,medical-heavy,The sentence makes the learner process unnecessary medical detail instead of the target word.,risk-targeted,,false
candidate,9229484,"There was only one candidate running for the office unopposed, so I wrote in our cat.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cane,11686683,"Thoreau coveted the plant's strong purple stalk for a cane, and the robins eat its dark crimson-juiced berries.",reject,obscure-background; context-too-hard,"The sentence requires obscure names, places, history, or specialist background before it can be understood. The surrounding vocabulary or technical background is substantially harder than the target word.",risk-targeted,,false
canvas,10463752,You call this art? It's just a splotch of paint on a canvas!,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cape,9101056,Tom is the only person wearing a cape.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
casual,11863884,"There are a lot of languages I'm a casual learner of, but have never seriously devoted myself to learning.",reject,unnatural-English,"The wording is awkward, archaic, or unnatural for a modern default teaching example.",risk-targeted,,false
cater,9004022,This restaurant does not cater for vegans.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
catholic,12071397,Catholic priests used to keep the tops of their heads shaved.,reject,religious-heavy; archaic,Catholic priests and shaved heads create a religious historical context that is unnecessary for a default example of catholic.,risk-targeted,,false
caution,12773788,Shall we move forward with caution?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cellar,11550135,"If you lift that candlestick, it'll move the bookcase and grant us access to the cellar.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cemetery,11264536,Every grave in this cemetery is identical. It must be where they bury suburbanites.,reject,death-heavy; weak-teaching-value,"The identical-graves joke is morbid and distracting, so cemetery is not taught through a neutral default context.",risk-targeted,,false
certainty,12060096,"He knew it was so, with an unaccountable but instantaneous certainty.",reject,unnatural-English; context-too-hard,"The wording is awkward, archaic, or unnatural for a modern default teaching example. The surrounding vocabulary or technical background is substantially harder than the target word.",risk-targeted,,false
champagne,8736656,"Whenever someone blames immigrants for their problems, a millionaire opens a bottle of champagne.",reject,political-heavy,The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word.,risk-targeted,,false
champion,11650589,Mary is the world chess champion.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
chapel,10101638,The priest is in the chapel.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
character,9805693,What character traits would your friends use to describe you?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
characterize,11095212,Openness and toughness characterize Korean diplomacy.,reject,political-heavy; proper-noun-heavy,Korean diplomacy places characterize in a named geopolitical context and adds specialist political vocabulary.,risk-targeted,,false
chase,10171525,My cat likes to chase the mouse cursor.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cherish,12768609,"I cherish the silence, for it speaks louder than words.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
chief,11889584,"My grandfather is a Bedouin sheikh, chief of one of the most powerful tribes of the desert.",reject,obscure-background; context-too-hard,"The sentence requires obscure names, places, history, or specialist background before it can be understood. The surrounding vocabulary or technical background is substantially harder than the target word.",risk-targeted,,false
chord,12267769,Jazz is characterized by improvisation on chord progressions.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
circulation,9805165,How long should I wear compression stockings to improve my circulation?,reject,medical-heavy; context-too-hard,Compression stockings make circulation depend on a specific medical treatment rather than an ordinary default context.,risk-targeted,,false
cite,12417879,"Please cite an authority on the English language, rather than Grammarly.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
clamp,10724631,Her head was shaved and secured in a three-pronged skull clamp.,reject,medical-heavy,The sentence makes the learner process unnecessary medical detail instead of the target word.,risk-targeted,,false
clan,11411054,A clan of fairies lives under there.,reject,fantastical-context; weak-teaching-value,A clan of fairies is fantastical and gives clan an unusual group context rather than a natural default example.,risk-targeted,,false
classical,12777190,Do you enjoy listening to classical music?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
classification,11358495,Not every racist country has the same racial classification system.,reject,hate; political-heavy,"The sentence contains an identity-based generalization, slur-adjacent framing, or hateful conflict that is not needed for teaching. The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word.",risk-targeted,,false
cliff,10830086,Tom drove straight off the cliff.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cling,11899770,"A lot of people still cling to a form of augury, seeing black cats as omens of bad luck.",reject,obscure-background; context-too-hard,"The sentence requires obscure names, places, history, or specialist background before it can be understood. The surrounding vocabulary or technical background is substantially harder than the target word.",risk-targeted,,false
clockwise,12382826,"Rotating it clockwise will tighten it, while rotating it counterclockwise will loosen it.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
clue,12027126,I've got no clue why Tom said that to you.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cluster,11244047,The cottage was one of a small lonely cluster standing on the edge of an enormous beech wood.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
coalition,12776970,They form a coalition for change.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
cocaine,12391805,The study suggests two possible ways that cocaine might lead to an aneurism.,reject,medical-heavy,The sentence makes the learner process unnecessary medical detail instead of the target word.,risk-targeted,,false
cognitive,11969319,Cognitive behavioral therapy doesn't work for everything or everyone.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
coincidence,12772635,Was this all just a coincidence?,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
collapse,11988241,What is causing colony collapse disorder?,reject,context-too-hard,The surrounding vocabulary or technical background is substantially harder than the target word.,risk-targeted,,false
collision,10142197,"After the collision, Tom and Mary exchanged insurance information.",pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
colonial,8421512,It is a colonial divide-and-conquer strategy to pit religious people against one another.,reject,political-heavy; religious-heavy,The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word. The sentence depends on a religious controversy or background that is unnecessary for the target word.,risk-targeted,,false
combination,10016622,I forgot the combination to my locker.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
combine,11598375,I'm worried our dimensions will combine and the shadow people will be able to get me.,reject,weak-teaching-value; obscure-background,"The target word is incidental, ambiguous, or too weakly illustrated to justify the context burden. The sentence requires obscure names, places, history, or specialist background before it can be understood.",risk-targeted,,false
commit,11678600,We all have to commit to getting rid of this perversion to our culture.,reject,political-heavy; weak-teaching-value,"The sentence depends on a politically charged dispute or institutional background that is unnecessary for the target word. The target word is incidental, ambiguous, or too weakly illustrated to justify the context burden.",risk-targeted,,false
commitment,12767818,Improvement is a commitment to yourself.,pass,,"Read in full: the sentence is complete and natural, the target use is understandable, and no unnecessary charged or specialist background is required for a default learner.",risk-targeted,,false
